stopWatch: 0.018 sec
stopWatch: 0.018 sec
stopWatch: 0.02 sec
stopWatch: 0.022 sec
stopWatch: 0.033 sec
stopWatch: 0.045 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.026 sec
stopWatch: 0.025 sec
stopWatch: 0.035 sec
stopWatch: 0.06 sec
stopWatch: 0.016 sec
stopWatch: 0.016 sec
stopWatch: 0.022 sec
stopWatch: 0.031 sec
stopWatch: 0.042 sec
stopWatch: 0.062 sec
stopWatch: 0.015 sec
stopWatch: 0.016 sec
stopWatch: 0.023 sec
stopWatch: 0.026 sec
stopWatch: 0.046 sec
stopWatch: 0.061 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.022 sec
stopWatch: 0.029 sec
stopWatch: 0.046 sec
stopWatch: 0.062 sec
stopWatch: 0.015 sec
stopWatch: 0.019 sec
stopWatch: 0.026 sec
stopWatch: 0.029 sec
stopWatch: 0.047 sec
stopWatch: 0.064 sec
stopWatch: 0.016 sec
stopWatch: 0.017 sec
stopWatch: 0.023 sec
stopWatch: 0.027 sec
stopWatch: 0.049 sec
stopWatch: 0.06 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.022 sec
stopWatch: 0.027 sec
stopWatch: 0.05 sec
stopWatch: 0.06 sec
stopWatch: 0.015 sec
stopWatch: 0.016 sec
stopWatch: 0.023 sec
stopWatch: 0.032 sec
stopWatch: 0.049 sec
stopWatch: 0.06 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.025 sec
stopWatch: 0.032 sec
stopWatch: 0.049 sec
stopWatch: 0.063 sec
stopWatch: 0.015 sec
stopWatch: 0.016 sec
stopWatch: 0.027 sec
stopWatch: 0.036 sec
stopWatch: 0.047 sec
stopWatch: 0.062 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.026 sec
stopWatch: 0.033 sec
stopWatch: 0.049 sec
stopWatch: 0.061 sec
stopWatch: 0.016 sec
stopWatch: 0.017 sec
stopWatch: 0.022 sec
stopWatch: 0.032 sec
stopWatch: 0.048 sec
stopWatch: 0.061 sec
stopWatch: 0.015 sec
stopWatch: 0.019 sec
stopWatch: 0.022 sec
stopWatch: 0.033 sec
stopWatch: 0.041 sec
stopWatch: 0.064 sec
stopWatch: 0.016 sec
stopWatch: 0.017 sec
stopWatch: 0.022 sec
stopWatch: 0.026 sec
stopWatch: 0.05 sec
stopWatch: 0.059 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.023 sec
stopWatch: 0.032 sec
stopWatch: 0.05 sec
stopWatch: 0.061 sec
stopWatch: 0.015 sec
stopWatch: 0.016 sec
stopWatch: 0.022 sec
stopWatch: 0.032 sec
stopWatch: 0.045 sec
stopWatch: 0.071 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.027 sec
stopWatch: 0.034 sec
stopWatch: 0.055 sec
stopWatch: 0.072 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.022 sec
stopWatch: 0.027 sec
stopWatch: 0.05 sec
stopWatch: 0.073 sec
stopWatch: 0.015 sec
stopWatch: 0.02 sec
stopWatch: 0.028 sec
stopWatch: 0.026 sec
stopWatch: 0.052 sec
stopWatch: 0.072 sec
stopWatch: 0.016 sec
stopWatch: 0.016 sec
stopWatch: 0.022 sec
stopWatch: 0.026 sec
stopWatch: 0.052 sec
stopWatch: 0.074 sec
stopWatch: 0.015 sec
stopWatch: 0.018 sec
stopWatch: 0.022 sec
stopWatch: 0.032 sec
stopWatch: 0.043 sec
stopWatch: 0.073 sec
stopWatch: 0.015 sec
stopWatch: 0.017 sec
stopWatch: 0.027 sec
stopWatch: 0.035 sec
stopWatch: 0.045 sec
stopWatch: 0.073 sec
stopWatch: 0.015 sec
stopWatch: 0.016 sec
stopWatch: 0.023 sec
stopWatch: 0.026 sec
stopWatch: 0.049 sec
stopWatch: 0.072 sec
stopWatch: 0.015 sec
stopWatch: 0.021 sec
stopWatch: 0.027 sec
stopWatch: 0.032 sec
stopWatch: 0.046 sec
stopWatch: 0.072 sec
stopWatch: 0.016 sec
stopWatch: 0.019 sec
stopWatch: 0.022 sec
stopWatch: 0.034 sec
stopWatch: 0.053 sec
stopWatch: 0.075 sec
stopWatch: 0.016 sec
stopWatch: 0.017 sec
stopWatch: 0.022 sec
